date,region,product_id,purchasers,units_sold,gross_revenue_usd
2024-01-03,JP,P002,153,169,843.31
2024-01-03,JP,P003,178,190,2848.1
2024-01-03,JP,P005,164,178,1422.22
2024-01-03,JP,P006,90,98,2449.02
2024-01-03,JP,P007,141,149,1488.51
2024-01-03,JP,P009,0,0,0.0
2024-01-03,JP,P010,66,68,339.32
2024-01-03,JP,P011,50,54,1079.46
2024-01-03,JP,P012,22,23,1839.77
2024-01-03,GLOBAL_WEST,P001,605,659,652.41
2024-01-03,GLOBAL_WEST,P002,369,402,2005.98
2024-01-03,GLOBAL_WEST,P003,296,323,4841.77
2024-01-03,GLOBAL_WEST,P005,407,444,3547.56
2024-01-03,GLOBAL_WEST,P006,178,178,4448.22
2024-01-03,GLOBAL_WEST,P007,224,241,2407.59
2024-01-03,GLOBAL_WEST,P009,0,0,0.0
2024-01-03,GLOBAL_WEST,P010,182,191,953.09
2024-01-03,GLOBAL_WEST,P011,116,128,2558.72
2024-01-03,GLOBAL_WEST,P012,114,117,9358.83
2024-01-04,KR,P001,396,410,405.9
2024-01-04,KR,P002,210,213,1062.87
2024-01-04,KR,P003,183,192,2878.08
2024-01-04,KR,P005,252,260,2077.4
2024-01-04,KR,P006,125,134,3348.66
2024-01-04,KR,P007,148,152,1518.48
2024-01-04,KR,P009,0,0,0.0
2024-01-04,KR,P010,132,148,738.52
2024-01-04,KR,P011,79,81,1619.19
2024-01-04,KR,P012,25,26,2079.74
2024-01-04,JP,P001,329,342,338.58
2024-01-04,JP,P002,184,197,983.03
2024-01-04,JP,P003,168,184,2758.16
2024-01-04,JP,P005,218,230,1837.7
2024-01-04,JP,P006,95,102,2548.98
2024-01-04,JP,P007,108,113,1128.87
2024-01-04,JP,P009,0,0,0.0
2024-01-04,JP,P010,94,94,469.06
2024-01-04,JP,P011,66,71,1419.29
2024-01-04,JP,P012,46,51,4079.49
2024-01-04,GLOBAL_WEST,P001,585,643,636.57
2024-01-04,GLOBAL_WEST,P002,269,285,1422.15
2024-01-04,GLOBAL_WEST,P003,293,313,4691.87
2024-01-04,GLOBAL_WEST,P005,365,378,3020.22
2024-01-04,GLOBAL_WEST,P006,159,174,4348.26
2024-01-04,GLOBAL_WEST,P007,202,226,2257.74
2024-01-04,GLOBAL_WEST,P009,0,0,0.0
2024-01-04,GLOBAL_WEST,P010,153,162,808.38
2024-01-04,GLOBAL_WEST,P011,65,71,1419.29
2024-01-04,GLOBAL_WEST,P012,0,0,0.0
2024-01-05,KR,P001,408,452,447.48
2024-01-05,KR,P002,232,247,1232.53
2024-01-05,KR,P003,230,250,3747.5
2024-01-05,KR,P005,227,243,1941.57
2024-01-05,KR,P006,99,106,2648.94
2024-01-05,KR,P007,127,137,1368.63
2024-01-05,KR,P009,0,0,0.0
2024-01-05,KR,P010,142,147,733.53
2024-01-05,KR,P011,85,92,1839.08
2024-01-05,KR,P012,41,44,3519.56
2024-01-05,JP,P001,330,342,338.58
2024-01-05,JP,P002,157,180,898.2
2024-01-05,JP,P003,146,154,2308.46
2024-01-05,JP,P005,223,247,1973.53
2024-01-05,JP,P006,86,90,2249.1
2024-01-05,JP,P007,126,132,1318.68
2024-01-05,JP,P009,0,0,0.0
2024-01-05,JP,P010,90,98,489.02
2024-01-05,JP,P011,55,56,1119.44
2024-01-05,JP,P012,41,43,3439.57
2024-01-05,GLOBAL_WEST,P001,630,666,659.34
2024-01-05,GLOBAL_WEST,P002,337,389,1941.11
2024-01-05,GLOBAL_WEST,P003,285,309,4631.91
2024-01-05,GLOBAL_WEST,P005,426,450,3595.5
2024-01-05,GLOBAL_WEST,P006,187,199,4973.01
2024-01-05,GLOBAL_WEST,P007,226,234,2337.66
2024-01-05,GLOBAL_WEST,P009,0,0,0.0
2024-01-05,GLOBAL_WEST,P010,199,224,1117.76
2024-01-05,GLOBAL_WEST,P011,129,134,2678.66
2024-01-05,GLOBAL_WEST,P012,71,78,6239.22
2024-01-06,KR,P001,439,451,446.49
2024-01-06,KR,P002,235,279,1392.21
2024-01-06,KR,P003,204,216,3237.84
2024-01-06,KR,P005,238,256,2045.44
2024-01-06,KR,P006,101,109,2723.91
2024-01-06,KR,P007,166,185,1848.15
2024-01-06,KR,P009,0,0,0.0
2024-01-06,KR,P010,149,164,818.36
2024-01-06,KR,P011,37,38,759.62
2024-01-06,KR,P012,38,39,3119.61
2024-01-06,JP,P001,354,384,380.16
2024-01-06,JP,P002,189,203,1012.97
2024-01-06,JP,P003,183,187,2803.13
2024-01-06,JP,P005,195,207,1653.93
2024-01-06,JP,P006,97,109,2723.91
2024-01-06,JP,P007,135,155,1548.45
2024-01-06,JP,P009,0,0,0.0
2024-01-06,JP,P010,76,81,404.19
2024-01-06,JP,P011,68,75,1499.25
2024-01-06,JP,P012,33,36,2879.64
2024-01-06,GLOBAL_WEST,P001,685,719,711.81
2024-01-06,GLOBAL_WEST,P002,436,456,2275.44
2024-01-06,GLOBAL_WEST,P003,346,378,5666.22
2024-01-06,GLOBAL_WEST,P005,398,435,3475.65
2024-01-06,GLOBAL_WEST,P006,224,246,6147.54
2024-01-06,GLOBAL_WEST,P007,299,320,3196.8
2024-01-06,GLOBAL_WEST,P009,0,0,0.0
2024-01-06,GLOBAL_WEST,P010,216,238,1187.62
2024-01-06,GLOBAL_WEST,P011,90,99,1979.01
2024-01-06,GLOBAL_WEST,P012,60,64,5119.36
2024-01-07,KR,P001,474,492,487.08
2024-01-07,KR,P002,231,238,1187.62
2024-01-07,KR,P003,194,208,3117.92
2024-01-07,KR,P005,240,262,2093.38
2024-01-07,KR,P006,135,149,3723.51
2024-01-07,KR,P007,131,140,1398.6
2024-01-07,KR,P009,0,0,0.0
2024-01-07,KR,P010,130,144,718.56
2024-01-07,KR,P011,75,79,1579.21
2024-01-07,KR,P012,51,53,4239.47
2024-01-07,JP,P001,354,388,384.12
2024-01-07,JP,P002,168,175,873.25
2024-01-07,JP,P003,160,175,2623.25
2024-01-07,JP,P005,220,235,1877.65
2024-01-07,JP,P006,71,78,1949.22
2024-01-07,JP,P007,159,169,1688.31
2024-01-07,JP,P009,0,0,0.0
2024-01-07,JP,P010,89,99,494.01
2024-01-07,JP,P011,74,83,1659.17
2024-01-07,JP,P012,32,35,2799.65
2024-01-07,GLOBAL_WEST,P001,749,767,759.33
2024-01-07,GLOBAL_WEST,P002,423,459,2290.41
2024-01-07,GLOBAL_WEST,P003,358,385,5771.15
2024-01-07,GLOBAL_WEST,P005,442,483,3859.17
2024-01-07,GLOBAL_WEST,P006,171,186,4648.14
2024-01-07,GLOBAL_WEST,P007,321,346,3456.54
2024-01-07,GLOBAL_WEST,P009,0,0,0.0
2024-01-07,GLOBAL_WEST,P010,271,295,1472.05
2024-01-07,GLOBAL_WEST,P011,125,137,2738.63
2024-01-07,GLOBAL_WEST,P012,46,50,3999.5
2024-01-08,KR,P001,441,462,457.38
2024-01-08,KR,P002,198,218,1087.82
2024-01-08,KR,P003,225,244,3657.56
2024-01-08,KR,P005,248,264,2109.36
2024-01-08,KR,P006,155,165,4123.35
2024-01-08,KR,P007,137,145,1448.55
2024-01-08,KR,P009,0,0,0.0
2024-01-08,KR,P010,121,127,633.73
2024-01-08,KR,P011,104,104,2078.96
2024-01-08,KR,P012,38,40,3199.6
2024-01-08,JP,P001,339,358,354.42
2024-01-08,JP,P002,186,198,988.02
2024-01-08,JP,P003,173,192,2878.08
2024-01-08,JP,P005,211,230,1837.7
2024-01-08,JP,P006,112,124,3098.76
2024-01-08,JP,P007,128,142,1418.58
2024-01-08,JP,P009,0,0,0.0
2024-01-08,JP,P010,98,107,533.93
2024-01-08,JP,P011,76,82,1639.18
2024-01-08,JP,P012,18,18,1439.82
2024-01-08,GLOBAL_WEST,P001,711,769,761.31
2024-01-08,GLOBAL_WEST,P002,296,324,1616.76
2024-01-08,GLOBAL_WEST,P003,426,450,6745.5
2024-01-08,GLOBAL_WEST,P005,470,531,4242.69
2024-01-08,GLOBAL_WEST,P006,230,240,5997.6
2024-01-08,GLOBAL_WEST,P007,305,323,3226.77
2024-01-08,GLOBAL_WEST,P009,0,0,0.0
2024-01-08,GLOBAL_WEST,P010,216,235,1172.65
2024-01-08,GLOBAL_WEST,P011,147,159,3178.41
2024-01-08,GLOBAL_WEST,P012,42,46,3679.54
2024-01-09,KR,P001,443,480,475.2
2024-01-09,KR,P002,205,219,1092.81
2024-01-09,KR,P003,250,279,4182.21
2024-01-09,KR,P005,289,313,2500.87
2024-01-09,KR,P006,83,91,2274.09
2024-01-09,KR,P007,131,141,1408.59
2024-01-09,KR,P009,0,0,0.0
2024-01-09,KR,P010,153,163,813.37
2024-01-09,KR,P011,64,69,1379.31
2024-01-09,KR,P012,56,62,4959.38
2024-01-09,JP,P001,367,390,386.1
2024-01-09,JP,P002,171,180,898.2
2024-01-09,JP,P003,171,180,2698.2
2024-01-09,JP,P005,204,210,1677.9
2024-01-09,JP,P006,99,109,2723.91
2024-01-09,JP,P007,137,147,1468.53
2024-01-09,JP,P009,0,0,0.0
2024-01-09,JP,P010,132,142,708.58
2024-01-09,JP,P011,55,58,1159.42
2024-01-09,JP,P012,47,51,4079.49
2024-01-09,GLOBAL_WEST,P001,785,866,857.34
2024-01-09,GLOBAL_WEST,P002,367,408,2035.92
2024-01-09,GLOBAL_WEST,P003,375,399,5981.01
2024-01-09,GLOBAL_WEST,P005,421,452,3611.48
2024-01-09,GLOBAL_WEST,P006,247,277,6922.23
2024-01-09,GLOBAL_WEST,P007,301,329,3286.71
2024-01-09,GLOBAL_WEST,P009,0,0,0.0
2024-01-09,GLOBAL_WEST,P010,223,243,1212.57
2024-01-09,GLOBAL_WEST,P011,115,123,2458.77
2024-01-09,GLOBAL_WEST,P012,38,41,3279.59
2024-01-10,KR,P001,444,471,466.29
2024-01-10,KR,P002,234,245,1222.55
2024-01-10,KR,P003,286,288,4317.12
2024-01-10,KR,P005,293,316,2524.84
2024-01-10,KR,P006,102,116,2898.84
2024-01-10,KR,P007,191,203,2027.97
2024-01-10,KR,P009,0,0,0.0
2024-01-10,KR,P010,151,169,843.31
2024-01-10,KR,P011,108,115,2298.85
2024-01-10,KR,P012,79,87,6959.13
2024-01-10,JP,P001,400,423,418.77
2024-01-10,JP,P002,160,169,843.31
2024-01-10,JP,P003,205,223,3342.77
2024-01-10,JP,P005,225,245,1957.55
2024-01-10,JP,P006,116,125,3123.75
2024-01-10,JP,P007,122,134,1338.66
2024-01-10,JP,P009,0,0,0.0
2024-01-10,JP,P010,138,148,738.52
2024-01-10,JP,P011,56,59,1179.41
2024-01-10,JP,P012,22,23,1839.77
2024-01-10,GLOBAL_WEST,P001,770,832,823.68
2024-01-10,GLOBAL_WEST,P002,436,480,2395.2
2024-01-10,GLOBAL_WEST,P003,355,369,5531.31
2024-01-10,GLOBAL_WEST,P005,433,471,3763.29
2024-01-10,GLOBAL_WEST,P006,245,269,6722.31
2024-01-10,GLOBAL_WEST,P007,311,319,3186.81
2024-01-10,GLOBAL_WEST,P009,0,0,0.0
2024-01-10,GLOBAL_WEST,P010,167,177,883.23
2024-01-10,GLOBAL_WEST,P011,153,169,3378.31
2024-01-10,GLOBAL_WEST,P012,46,51,4079.49
2024-01-11,KR,P001,463,504,498.96
2024-01-11,KR,P002,250,266,1327.34
2024-01-11,KR,P003,205,221,3312.79
2024-01-11,KR,P005,287,309,2468.91
2024-01-11,KR,P006,112,122,3048.78
2024-01-11,KR,P007,152,166,1658.34
2024-01-11,KR,P009,0,0,0.0
2024-01-11,KR,P010,169,181,903.19
2024-01-11,KR,P011,105,114,2278.86
2024-01-11,KR,P012,53,56,4479.44
2024-01-11,JP,P001,401,443,438.57
2024-01-11,JP,P002,164,173,863.27
2024-01-11,JP,P003,207,220,3297.8
2024-01-11,JP,P005,220,232,1853.68
2024-01-11,JP,P006,130,148,3698.52
2024-01-11,JP,P007,153,168,1678.32
2024-01-11,JP,P009,0,0,0.0
2024-01-11,JP,P010,102,109,543.91
2024-01-11,JP,P011,83,87,1739.13
2024-01-11,JP,P012,26,29,2319.71
2024-01-11,GLOBAL_WEST,P001,758,817,808.83
2024-01-11,GLOBAL_WEST,P002,421,467,2330.33
2024-01-11,GLOBAL_WEST,P003,448,490,7345.1
2024-01-11,GLOBAL_WEST,P005,484,525,4194.75
2024-01-11,GLOBAL_WEST,P006,227,253,6322.47
2024-01-11,GLOBAL_WEST,P007,219,240,2397.6
2024-01-11,GLOBAL_WEST,P009,0,0,0.0
2024-01-11,GLOBAL_WEST,P010,221,235,1172.65
2024-01-11,GLOBAL_WEST,P011,135,141,2818.59
2024-01-11,GLOBAL_WEST,P012,123,128,10238.72
2024-01-12,KR,P001,544,587,581.13
2024-01-12,KR,P002,238,267,1332.33
2024-01-12,KR,P003,221,243,3642.57
2024-01-12,KR,P005,279,305,2436.95
2024-01-12,KR,P006,153,168,4198.32
2024-01-12,KR,P007,236,241,2407.59
2024-01-12,KR,P009,0,0,0.0
2024-01-12,KR,P010,109,117,583.83
2024-01-12,KR,P011,134,145,2898.55
2024-01-12,KR,P012,20,22,1759.78
2024-01-12,JP,P001,359,375,371.25
2024-01-12,JP,P002,218,238,1187.62
2024-01-12,JP,P003,176,194,2908.06
2024-01-12,JP,P005,230,241,1925.59
2024-01-12,JP,P006,85,92,2299.08
2024-01-12,JP,P007,151,171,1708.29
2024-01-12,JP,P009,0,0,0.0
2024-01-12,JP,P010,88,97,484.03
2024-01-12,JP,P011,91,100,1999.0
2024-01-12,JP,P012,24,25,1999.75
2024-01-12,GLOBAL_WEST,P001,806,929,919.71
2024-01-12,GLOBAL_WEST,P002,453,481,2400.19
2024-01-12,GLOBAL_WEST,P003,408,436,6535.64
2024-01-12,GLOBAL_WEST,P005,518,518,4138.82
2024-01-12,GLOBAL_WEST,P006,221,243,6072.57
2024-01-12,GLOBAL_WEST,P007,272,297,2967.03
2024-01-12,GLOBAL_WEST,P009,0,0,0.0
2024-01-12,GLOBAL_WEST,P010,211,222,1107.78
2024-01-12,GLOBAL_WEST,P011,216,229,4577.71
2024-01-12,GLOBAL_WEST,P012,70,75,5999.25
2024-01-13,KR,P001,489,521,515.79
2024-01-13,KR,P002,228,239,1192.61
2024-01-13,KR,P003,250,262,3927.38
2024-01-13,KR,P005,302,326,2604.74
2024-01-13,KR,P006,159,172,4298.28
2024-01-13,KR,P007,171,186,1858.14
2024-01-13,KR,P009,0,0,0.0
2024-01-13,KR,P010,145,156,778.44
2024-01-13,KR,P011,130,140,2798.6
2024-01-13,KR,P012,27,28,2239.72
2024-01-13,JP,P001,361,381,377.19
2024-01-13,JP,P002,212,236,1177.64
2024-01-13,JP,P003,205,216,3237.84
2024-01-13,JP,P005,229,247,1973.53
2024-01-13,JP,P006,132,149,3723.51
2024-01-13,JP,P007,184,201,2007.99
2024-01-13,JP,P009,0,0,0.0
2024-01-13,JP,P010,148,166,828.34
2024-01-13,JP,P011,74,76,1519.24
2024-01-13,JP,P012,42,45,3599.55
2024-01-13,GLOBAL_WEST,P001,873,956,946.44
2024-01-13,GLOBAL_WEST,P002,458,478,2385.22
2024-01-13,GLOBAL_WEST,P003,387,428,6415.72
2024-01-13,GLOBAL_WEST,P005,475,519,4146.81
2024-01-13,GLOBAL_WEST,P006,310,335,8371.65
2024-01-13,GLOBAL_WEST,P007,324,351,3506.49
2024-01-13,GLOBAL_WEST,P009,0,0,0.0
2024-01-13,GLOBAL_WEST,P010,222,224,1117.76
2024-01-13,GLOBAL_WEST,P011,158,167,3338.33
2024-01-13,GLOBAL_WEST,P012,0,0,0.0
2024-01-14,KR,P001,479,509,503.91
2024-01-14,KR,P002,245,273,1362.27
2024-01-14,KR,P003,262,284,4257.16
2024-01-14,KR,P005,301,323,2580.77
2024-01-14,KR,P006,162,172,4298.28
2024-01-14,KR,P007,178,199,1988.01
2024-01-14,KR,P009,0,0,0.0
2024-01-14,KR,P010,109,116,578.84
2024-01-14,KR,P011,99,110,2198.9
2024-01-14,KR,P012,19,21,1679.79
2024-01-14,JP,P001,376,415,410.85
2024-01-14,JP,P002,215,228,1137.72
2024-01-14,JP,P003,187,210,3147.9
2024-01-14,JP,P005,229,254,2029.46
2024-01-14,JP,P006,122,132,3298.68
2024-01-14,JP,P007,172,185,1848.15
2024-01-14,JP,P009,0,0,0.0
2024-01-14,JP,P010,135,136,678.64
2024-01-14,JP,P011,58,58,1159.42
2024-01-14,JP,P012,18,20,1599.8
2024-01-14,GLOBAL_WEST,P001,918,1015,1004.85
2024-01-14,GLOBAL_WEST,P002,417,446,2225.54
2024-01-14,GLOBAL_WEST,P003,416,445,6670.55
2024-01-14,GLOBAL_WEST,P005,560,598,4778.02
2024-01-14,GLOBAL_WEST,P006,273,296,7397.04
2024-01-14,GLOBAL_WEST,P007,303,316,3156.84
2024-01-14,GLOBAL_WEST,P009,0,0,0.0
2024-01-14,GLOBAL_WEST,P010,248,270,1347.3
2024-01-14,GLOBAL_WEST,P011,201,217,4337.83
2024-01-14,GLOBAL_WEST,P012,124,133,10638.67
2024-01-15,KR,P001,539,539,533.61
2024-01-15,KR,P002,291,313,1561.87
2024-01-15,KR,P003,262,289,4332.11
2024-01-15,KR,P005,373,407,3251.93
2024-01-15,KR,P006,111,117,2923.83
2024-01-15,KR,P007,230,243,2427.57
2024-01-15,KR,P009,0,0,0.0
2024-01-15,KR,P010,172,188,938.12
2024-01-15,KR,P011,157,172,3438.28
2024-01-15,KR,P012,49,52,4159.48
2024-01-15,JP,P001,409,452,447.48
2024-01-15,JP,P002,183,192,958.08
2024-01-15,JP,P003,183,190,2848.1
2024-01-15,JP,P005,242,265,2117.35
2024-01-15,JP,P006,84,93,2324.07
2024-01-15,JP,P007,146,157,1568.43
2024-01-15,JP,P009,0,0,0.0
2024-01-15,JP,P010,127,141,703.59
2024-01-15,JP,P011,61,64,1279.36
2024-01-15,JP,P012,8,8,639.92
2024-01-15,GLOBAL_WEST,P001,936,1014,1003.86
2024-01-15,GLOBAL_WEST,P002,466,515,2569.85
2024-01-15,GLOBAL_WEST,P003,415,441,6610.59
2024-01-15,GLOBAL_WEST,P005,499,548,4378.52
2024-01-15,GLOBAL_WEST,P006,204,217,5422.83
2024-01-15,GLOBAL_WEST,P007,393,418,4175.82
2024-01-15,GLOBAL_WEST,P009,0,0,0.0
2024-01-15,GLOBAL_WEST,P010,208,219,1092.81
2024-01-15,GLOBAL_WEST,P011,129,137,2738.63
2024-01-15,GLOBAL_WEST,P012,64,70,5599.3
2024-01-16,KR,P001,553,592,586.08
2024-01-16,KR,P002,273,296,1477.04
2024-01-16,KR,P003,300,320,4796.8
2024-01-16,KR,P005,367,376,3004.24
2024-01-16,KR,P006,190,203,5072.97
2024-01-16,KR,P007,220,227,2267.73
2024-01-16,KR,P009,0,0,0.0
2024-01-16,KR,P010,161,170,848.3
2024-01-16,KR,P011,126,141,2818.59
2024-01-16,KR,P012,56,62,4959.38
2024-01-16,JP,P001,425,458,453.42
2024-01-16,JP,P002,203,221,1102.79
2024-01-16,JP,P003,244,262,3927.38
2024-01-16,JP,P005,249,272,2173.28
2024-01-16,JP,P006,98,104,2598.96
2024-01-16,JP,P007,142,148,1478.52
2024-01-16,JP,P009,0,0,0.0
2024-01-16,JP,P010,132,137,683.63
2024-01-16,JP,P011,91,100,1999.0
2024-01-16,JP,P012,46,49,3919.51
2024-01-16,GLOBAL_WEST,P001,893,925,915.75
2024-01-16,GLOBAL_WEST,P002,410,445,2220.55
2024-01-16,GLOBAL_WEST,P003,443,453,6790.47
2024-01-16,GLOBAL_WEST,P005,486,517,4130.83
2024-01-16,GLOBAL_WEST,P006,249,255,6372.45
2024-01-16,GLOBAL_WEST,P007,335,355,3546.45
2024-01-16,GLOBAL_WEST,P009,0,0,0.0
2024-01-16,GLOBAL_WEST,P010,247,266,1327.34
2024-01-16,GLOBAL_WEST,P011,133,147,2938.53
2024-01-16,GLOBAL_WEST,P012,15,15,1199.85
2024-01-17,KR,P001,576,613,606.87
2024-01-17,KR,P002,278,308,1536.92
2024-01-17,KR,P003,264,291,4362.09
2024-01-17,KR,P005,266,282,2253.18
2024-01-17,KR,P006,169,176,4398.24
2024-01-17,KR,P007,265,294,2937.06
2024-01-17,KR,P009,0,0,0.0
2024-01-17,KR,P010,182,197,983.03
2024-01-17,KR,P011,160,170,3398.3
2024-01-17,KR,P012,10,10,799.9
2024-01-17,JP,P001,416,476,471.24
2024-01-17,JP,P002,232,256,1277.44
2024-01-17,JP,P003,215,230,3447.7
2024-01-17,JP,P005,245,261,2085.39
2024-01-17,JP,P006,120,129,3223.71
2024-01-17,JP,P007,167,174,1738.26
2024-01-17,JP,P009,0,0,0.0
2024-01-17,JP,P010,128,133,663.67
2024-01-17,JP,P011,81,89,1779.11
2024-01-17,JP,P012,22,24,1919.76
2024-01-17,GLOBAL_WEST,P001,946,995,985.05
2024-01-17,GLOBAL_WEST,P002,411,442,2205.58
2024-01-17,GLOBAL_WEST,P003,475,517,7749.83
2024-01-17,GLOBAL_WEST,P005,533,588,4698.12
2024-01-17,GLOBAL_WEST,P006,238,248,6197.52
2024-01-17,GLOBAL_WEST,P007,261,286,2857.14
2024-01-17,GLOBAL_WEST,P009,0,0,0.0
2024-01-17,GLOBAL_WEST,P010,342,371,1851.29
2024-01-17,GLOBAL_WEST,P011,201,215,4297.85
2024-01-17,GLOBAL_WEST,P012,29,31,2479.69
2024-01-18,KR,P001,572,621,614.79
2024-01-18,KR,P002,298,311,1551.89
2024-01-18,KR,P003,318,352,5276.48
2024-01-18,KR,P005,321,359,2868.41
2024-01-18,KR,P006,162,175,4373.25
2024-01-18,KR,P007,241,275,2747.25
2024-01-18,KR,P009,0,0,0.0
2024-01-18,KR,P010,184,196,978.04
2024-01-18,KR,P011,108,116,2318.84
2024-01-18,KR,P012,39,39,3119.61
2024-01-18,JP,P001,427,463,458.37
2024-01-18,JP,P002,204,205,1022.95
2024-01-18,JP,P003,224,231,3462.69
2024-01-18,JP,P005,244,269,2149.31
2024-01-18,JP,P006,139,153,3823.47
2024-01-18,JP,P007,179,198,1978.02
2024-01-18,JP,P009,0,0,0.0
2024-01-18,JP,P010,115,123,613.77
2024-01-18,JP,P011,88,97,1939.03
2024-01-18,JP,P012,33,36,2879.64
2024-01-18,GLOBAL_WEST,P001,965,1023,1012.77
2024-01-18,GLOBAL_WEST,P002,377,408,2035.92
2024-01-18,GLOBAL_WEST,P003,430,457,6850.43
2024-01-18,GLOBAL_WEST,P005,555,577,4610.23
2024-01-18,GLOBAL_WEST,P006,252,282,7047.18
2024-01-18,GLOBAL_WEST,P007,323,332,3316.68
2024-01-18,GLOBAL_WEST,P009,0,0,0.0
2024-01-18,GLOBAL_WEST,P010,272,297,1482.03
2024-01-18,GLOBAL_WEST,P011,177,187,3738.13
2024-01-18,GLOBAL_WEST,P012,92,98,7839.02
2024-01-19,KR,P001,634,726,718.74
2024-01-19,KR,P002,284,313,1561.87
2024-01-19,KR,P003,346,366,5486.34
2024-01-19,KR,P005,350,377,3012.23
2024-01-19,KR,P006,177,183,4573.17
2024-01-19,KR,P007,187,197,1968.03
2024-01-19,KR,P009,0,0,0.0
2024-01-19,KR,P010,169,185,923.15
2024-01-19,KR,P011,147,162,3238.38
2024-01-19,KR,P012,70,76,6079.24
2024-01-19,JP,P001,425,451,446.49
2024-01-19,JP,P002,201,213,1062.87
2024-01-19,JP,P003,240,258,3867.42
2024-01-19,JP,P005,256,284,2269.16
2024-01-19,JP,P006,165,191,4773.09
2024-01-19,JP,P007,165,186,1858.14
2024-01-19,JP,P009,0,0,0.0
2024-01-19,JP,P010,135,148,738.52
2024-01-19,JP,P011,79,83,1659.17
2024-01-19,JP,P012,36,39,3119.61
2024-01-19,GLOBAL_WEST,P001,916,1029,1018.71
2024-01-19,GLOBAL_WEST,P002,326,343,1711.57
2024-01-19,GLOBAL_WEST,P003,497,536,8034.64
2024-01-19,GLOBAL_WEST,P005,486,509,4066.91
2024-01-19,GLOBAL_WEST,P006,302,325,8121.75
2024-01-19,GLOBAL_WEST,P007,328,371,3706.29
2024-01-19,GLOBAL_WEST,P009,0,0,0.0
2024-01-19,GLOBAL_WEST,P010,233,241,1202.59
2024-01-19,GLOBAL_WEST,P011,99,105,2098.95
2024-01-19,GLOBAL_WEST,P012,97,104,8318.96
2024-01-20,KR,P001,546,551,545.49
2024-01-20,KR,P002,299,321,1601.79
