user_id,registered_at_utc,region
u0159,2025-03-11T00:00:00,KR
u0160,2025-03-12T00:00:00,JP
u0161,2025-03-13T00:00:00,GLOBAL_WEST
u0162,2025-03-14T00:00:00,KR
u0163,2025-03-15T00:00:00,JP
u0164,2025-03-16T00:00:00,GLOBAL_WEST
u0165,2025-03-17T00:00:00,KR
u0166,2025-03-18T00:00:00,JP
u0167,2025-03-19T00:00:00,GLOBAL_WEST
u0168,2025-03-20T00:00:00,KR
u0169,2025-03-21T00:00:00,JP
u0170,2025-03-22T00:00:00,GLOBAL_WEST
u0171,2025-03-23T00:00:00,KR
u0172,2025-03-24T00:00:00,JP
u0173,2025-03-25T00:00:00,GLOBAL_WEST
u0174,2025-03-26T00:00:00,KR
u0175,2025-03-27T00:00:00,JP
u0176,2025-03-28T00:00:00,GLOBAL_WEST
u0177,2025-03-29T00:00:00,KR
u0178,2025-03-30T00:00:00,JP
u0179,2025-03-31T00:00:00,GLOBAL_WEST
u0180,2025-01-01T00:00:00,KR
u0181,2025-01-02T00:00:00,JP
u0182,2025-01-03T00:00:00,GLOBAL_WEST
u0183,2025-01-04T00:00:00,KR
u0184,2025-01-05T00:00:00,JP
u0185,2025-01-06T00:00:00,GLOBAL_WEST
u0186,2025-01-07T00:00:00,KR
u0187,2025-01-08T00:00:00,JP
u0188,2025-01-09T00:00:00,GLOBAL_WEST
u0189,2025-01-10T00:00:00,KR
u0190,2025-01-11T00:00:00,JP
u0191,2025-01-12T00:00:00,GLOBAL_WEST
u0192,2025-01-13T00:00:00,KR
u0193,2025-01-14T00:00:00,JP
u0194,2025-01-15T00:00:00,GLOBAL_WEST
u0195,2025-01-16T00:00:00,KR
u0196,2025-01-17T00:00:00,JP
u0197,2025-01-18T00:00:00,GLOBAL_WEST
u0198,2025-01-19T00:00:00,KR
u0199,2025-01-20T00:00:00,JP
u0200,2025-01-21T00:00:00,GLOBAL_WEST
u0201,2025-01-22T00:00:00,KR
u0202,2025-01-23T00:00:00,JP
u0203,2025-01-24T00:00:00,GLOBAL_WEST
u0204,2025-01-25T00:00:00,KR
u0205,2025-01-26T00:00:00,JP
u0206,2025-01-27T00:00:00,GLOBAL_WEST
u0207,2025-01-28T00:00:00,KR
u0208,2025-01-29T00:00:00,JP
u0209,2025-01-30T00:00:00,GLOBAL_WEST
u0210,2025-01-31T00:00:00,KR
u0211,2025-02-01T00:00:00,JP
u0212,2025-02-02T00:00:00,GLOBAL_WEST
u0213,2025-02-03T00:00:00,KR
u0214,2025-02-04T00:00:00,JP
u0215,2025-02-05T00:00:00,GLOBAL_WEST
u0216,2025-02-06T00:00:00,KR
u0217,2025-02-07T00:00:00,JP
u0218,2025-02-08T00:00:00,GLOBAL_WEST
u0219,2025-02-09T00:00:00,KR
u0220,2025-02-10T00:00:00,JP
u0221,2025-02-11T00:00:00,GLOBAL_WEST
u0222,2025-02-12T00:00:00,KR
u0223,2025-02-13T00:00:00,JP
u0224,2025-02-14T00:00:00,GLOBAL_WEST
u0225,2025-02-15T00:00:00,KR
u0226,2025-02-16T00:00:00,JP
u0227,2025-02-17T00:00:00,GLOBAL_WEST
u0228,2025-02-18T00:00:00,KR
u0229,2025-02-19T00:00:00,JP
u0230,2025-02-20T00:00:00,GLOBAL_WEST
u0231,2025-02-21T00:00:00,KR
u0232,2025-02-22T00:00:00,JP
u0233,2025-02-23T00:00:00,GLOBAL_WEST
u0234,2025-02-24T00:00:00,KR
u0235,2025-02-25T00:00:00,JP
u0236,2025-02-26T00:00:00,GLOBAL_WEST
u0237,2025-02-27T00:00:00,KR
u0238,2025-02-28T00:00:00,JP
u0239,2025-03-01T00:00:00,GLOBAL_WEST
u0240,2025-03-02T00:00:00,KR
u0241,2025-03-03T00:00:00,JP
u0242,2025-03-04T00:00:00,GLOBAL_WEST
u0243,2025-03-05T00:00:00,KR
u0244,2025-03-06T00:00:00,JP
u0245,2025-03-07T00:00:00,GLOBAL_WEST
u0246,2025-03-08T00:00:00,KR
u0247,2025-03-09T00:00:00,JP
u0248,2025-03-10T00:00:00,GLOBAL_WEST
u0249,2025-03-11T00:00:00,KR
u0250,2025-03-12T00:00:00,JP
u0251,2025-03-13T00:00:00,GLOBAL_WEST
u0252,2025-03-14T00:00:00,KR
u0253,2025-03-15T00:00:00,JP
u0254,2025-03-16T00:00:00,GLOBAL_WEST
u0255,2025-03-17T00:00:00,KR
u0256,2025-03-18T00:00:00,JP
u0257,2025-03-19T00:00:00,GLOBAL_WEST
u0258,2025-03-20T00:00:00,KR
u0259,2025-03-21T00:00:00,JP
u0260,2025-03-22T00:00:00,GLOBAL_WEST
u0261,2025-03-23T00:00:00,KR
u0262,2025-03-24T00:00:00,JP
u0263,2025-03-25T00:00:00,GLOBAL_WEST
u0264,2025-03-26T00:00:00,KR
u0265,2025-03-27T00:00:00,JP
u0266,2025-03-28T00:00:00,GLOBAL_WEST
u0267,2025-03-29T00:00:00,KR
u0268,2025-03-30T00:00:00,JP
u0269,2025-03-31T00:00:00,GLOBAL_WEST
u0270,2025-01-01T00:00:00,KR
u0271,2025-01-02T00:00:00,JP
u0272,2025-01-03T00:00:00,GLOBAL_WEST
u0273,2025-01-04T00:00:00,KR
u0274,2025-01-05T00:00:00,JP
u0275,2025-01-06T00:00:00,GLOBAL_WEST
u0276,2025-01-07T00:00:00,KR
u0277,2025-01-08T00:00:00,JP
u0278,2025-01-09T00:00:00,GLOBAL_WEST
u0279,2025-01-10T00:00:00,KR
u0280,2025-01-11T00:00:00,JP
u0281,2025-01-12T00:00:00,GLOBAL_WEST
u0282,2025-01-13T00:00:00,KR
u0283,2025-01-14T00:00:00,JP
u0284,2025-01-15T00:00:00,GLOBAL_WEST
u0285,2025-01-16T00:00:00,KR
u0286,2025-01-17T00:00:00,JP
u0287,2025-01-18T00:00:00,GLOBAL_WEST
u0288,2025-01-19T00:00:00,KR
u0289,2025-01-20T00:00:00,JP
u0290,2025-01-21T00:00:00,GLOBAL_WEST
u0291,2025-01-22T00:00:00,KR
u0292,2025-01-23T00:00:00,JP
u0293,2025-01-24T00:00:00,GLOBAL_WEST
u0294,2025-01-25T00:00:00,KR
u0295,2025-01-26T00:00:00,JP
u0296,2025-01-27T00:00:00,GLOBAL_WEST
u0297,2025-01-28T00:00:00,KR
u0298,2025-01-29T00:00:00,JP
u0299,2025-01-30T00:00:00,GLOBAL_WEST
u0300,2025-01-31T00:00:00,KR
u0301,2025-02-01T00:00:00,JP
u0302,2025-02-02T00:00:00,GLOBAL_WEST
u0303,2025-02-03T00:00:00,KR
u0304,2025-02-04T00:00:00,JP
u0305,2025-02-05T00:00:00,GLOBAL_WEST
u0306,2025-02-06T00:00:00,KR
u0307,2025-02-07T00:00:00,JP
u0308,2025-02-08T00:00:00,GLOBAL_WEST
u0309,2025-02-09T00:00:00,KR
u0310,2025-02-10T00:00:00,JP
u0311,2025-02-11T00:00:00,GLOBAL_WEST
u0312,2025-02-12T00:00:00,KR
u0313,2025-02-13T00:00:00,JP
u0314,2025-02-14T00:00:00,GLOBAL_WEST
u0315,2025-02-15T00:00:00,KR
u0316,2025-02-16T00:00:00,JP
u0317,2025-02-17T00:00:00,GLOBAL_WEST
u0318,2025-02-18T00:00:00,KR
u0319,2025-02-19T00:00:00,JP
u0320,2025-02-20T00:00:00,GLOBAL_WEST
u0321,2025-02-21T00:00:00,KR
u0322,2025-02-22T00:00:00,JP
u0323,2025-02-23T00:00:00,GLOBAL_WEST
u0324,2025-02-24T00:00:00,KR
u0325,2025-02-25T00:00:00,JP
u0326,2025-02-26T00:00:00,GLOBAL_WEST
u0327,2025-02-27T00:00:00,KR
u0328,2025-02-28T00:00:00,JP
u0329,2025-03-01T00:00:00,GLOBAL_WEST
u0330,2025-03-02T00:00:00,KR
u0331,2025-03-03T00:00:00,JP
u0332,2025-03-04T00:00:00,GLOBAL_WEST
u0333,2025-03-05T00:00:00,KR
u0334,2025-03-06T00:00:00,JP
u0335,2025-03-07T00:00:00,GLOBAL_WEST
u0336,2025-03-08T00:00:00,KR
u0337,2025-03-09T00:00:00,JP
u0338,2025-03-10T00:00:00,GLOBAL_WEST
u0339,2025-03-11T00:00:00,KR
u0340,2025-03-12T00:00:00,JP
u0341,2025-03-13T00:00:00,GLOBAL_WEST
u0342,2025-03-14T00:00:00,KR
u0343,2025-03-15T00:00:00,JP
u0344,2025-03-16T00:00:00,GLOBAL_WEST
u0345,2025-03-17T00:00:00,KR
u0346,2025-03-18T00:00:00,JP
u0347,2025-03-19T00:00:00,GLOBAL_WEST
u0348,2025-03-20T00:00:00,KR
u0349,2025-03-21T00:00:00,JP
u0350,2025-03-22T00:00:00,GLOBAL_WEST
u0351,2025-03-23T00:00:00,KR
u0352,2025-03-24T00:00:00,JP
u0353,2025-03-25T00:00:00,GLOBAL_WEST
u0354,2025-03-26T00:00:00,KR
u0355,2025-03-27T00:00:00,JP
u0356,2025-03-28T00:00:00,GLOBAL_WEST
u0357,2025-03-29T00:00:00,KR
u0358,2025-03-30T00:00:00,JP
u0359,2025-03-31T00:00:00,GLOBAL_WEST
