date,region,dau,nru,returned_users,user_outflow,event_names,event_types,service_availability,pu,revenue
2024-01-21,GLOBAL_WEST,117980,3742,695,2434,Global Launch,launch,1.0,4097,33466.14
2024-01-22,KR,66187,616,530,1678,No Event,baseline,1.0,2062,16978.51
2024-01-22,JP,44783,438,334,892,No Event,baseline,1.0,1433,16875.6
2024-01-22,GLOBAL_WEST,116960,1087,650,2762,No Event,baseline,1.0,3576,34442.01
2024-01-23,KR,65858,629,512,1567,No Event,baseline,1.0,2095,18443.12
2024-01-23,JP,44615,452,307,885,No Event,baseline,1.0,1421,14636.49
2024-01-23,GLOBAL_WEST,115759,1075,671,2902,No Event,baseline,1.0,3592,35483.16
2024-01-24,KR,65272,660,478,1548,No Event,baseline,1.0,1924,15808.06
2024-01-24,JP,44528,416,326,849,No Event,baseline,1.0,1363,12608.92
2024-01-24,GLOBAL_WEST,114629,1075,700,2905,No Event,baseline,1.0,3479,29632.53
2024-01-25,KR,64994,681,487,1434,No Event,baseline,1.0,1980,18130.31
2024-01-25,JP,44606,454,298,758,No Event,baseline,1.0,1338,13679.67
2024-01-25,GLOBAL_WEST,113266,1069,668,2899,No Event,baseline,1.0,3439,26940.55
2024-01-26,KR,64810,651,501,1491,No Event,baseline,1.0,1915,14744.76
2024-01-26,JP,44395,452,344,953,No Event,baseline,1.0,1387,15445.67
2024-01-26,GLOBAL_WEST,112378,1080,703,2660,No Event,baseline,1.0,3659,35797.98
2024-01-27,KR,64488,649,519,1398,No Event,baseline,1.0,1996,21441.3
2024-01-27,JP,44310,442,343,836,No Event,baseline,1.0,1428,16523.4
2024-01-27,GLOBAL_WEST,111559,1092,650,2580,No Event,baseline,1.0,3638,30862.37
2024-01-28,KR,64091,599,491,1477,No Event,baseline,1.0,2029,21528.85
2024-01-28,JP,44322,490,385,910,No Event,baseline,1.0,1410,16937.02
2024-01-28,GLOBAL_WEST,110674,1089,656,2753,No Event,baseline,1.0,3504,26836.83
2024-01-29,KR,63661,664,507,1548,No Event,baseline,1.0,1970,15237.1
2024-01-29,JP,44272,409,340,805,No Event,baseline,1.0,1339,16593.33
2024-01-29,GLOBAL_WEST,110123,1103,649,2605,No Event,baseline,1.0,3417,33795.14
2024-01-30,KR,63346,671,526,1549,No Event,baseline,1.0,1918,18769.78
2024-01-30,JP,44235,426,335,852,No Event,baseline,1.0,1358,14573.98
2024-01-30,GLOBAL_WEST,109393,1091,640,2539,No Event,baseline,1.0,3444,39303.73
2024-01-31,KR,63195,665,475,1333,No Event,baseline,1.0,1942,22678.68
2024-01-31,JP,44106,318,312,817,No Event,baseline,1.0,1469,14177.51
2024-01-31,GLOBAL_WEST,108984,1172,625,2471,No Event,baseline,1.0,3400,29767.46
2024-02-01,KR,63058,670,512,1299,No Event,baseline,1.0,1935,18144.72
2024-02-01,JP,44144,533,323,834,No Event,baseline,1.0,1373,15750.42
2024-02-01,GLOBAL_WEST,107844,1133,620,2414,No Event,baseline,1.0,3366,33220.87
2024-02-02,KR,62617,638,489,1469,No Event,baseline,1.0,1922,16291.83
2024-02-02,JP,44101,406,352,888,No Event,baseline,1.0,1357,16046.35
2024-02-02,GLOBAL_WEST,106998,1142,704,2628,No Event,baseline,1.0,3217,20579.38
2024-02-03,KR,62433,643,427,1395,No Event,baseline,1.0,1931,17217.29
2024-02-03,JP,44105,478,357,848,No Event,baseline,1.0,1331,11718.96
2024-02-03,GLOBAL_WEST,106167,1142,653,2620,No Event,baseline,1.0,3105,24784.22
2024-02-04,KR,62308,617,524,1319,No Event,baseline,1.0,1968,13949.03
2024-02-04,JP,43979,492,330,920,No Event,baseline,1.0,1318,12457.78
2024-02-04,GLOBAL_WEST,105277,1118,716,2553,No Event,baseline,1.0,3357,30637.09
2024-02-05,KR,62317,671,463,1402,No Event,baseline,1.0,1885,20364.78
2024-02-05,JP,43681,391,270,849,No Event,baseline,1.0,1353,16254.01
2024-02-05,GLOBAL_WEST,104661,1193,611,2564,No Event,baseline,1.0,3257,26578.38
2024-02-06,KR,62013,535,475,1281,No Event,baseline,1.0,1864,17168.52
2024-02-06,JP,43425,439,303,915,No Event,baseline,1.0,1364,14856.17
2024-02-06,GLOBAL_WEST,103942,1132,636,2580,No Event,baseline,1.0,3179,25462.78
2024-02-07,KR,61408,599,474,1576,No Event,baseline,1.0,1827,21158.35
2024-02-07,JP,43436,418,350,696,No Event,baseline,1.0,1308,17248.98
2024-02-07,GLOBAL_WEST,103224,1102,669,2521,No Event,baseline,1.0,3169,25954.11
2024-02-08,KR,61006,584,475,1467,No Event,baseline,1.0,1886,18888.58
2024-02-08,JP,43380,410,295,844,No Event,baseline,1.0,1357,14214.82
2024-02-08,GLOBAL_WEST,102581,1257,587,2520,No Event,baseline,1.0,3149,27772.88
2024-02-09,KR,60817,630,483,1371,No Event,baseline,1.0,1930,19704.4
2024-02-09,JP,43481,451,361,790,No Event,baseline,1.0,1359,16741.77
2024-02-09,GLOBAL_WEST,102293,1214,672,2251,No Event,baseline,1.0,3023,29815.38
2024-02-10,KR,60490,623,516,1300,No Event,baseline,1.0,1829,18987.02
2024-02-10,JP,43352,385,321,825,No Event,baseline,1.0,1377,14728.98
2024-02-10,GLOBAL_WEST,101704,1293,644,2353,No Event,baseline,1.0,3142,35058.29
2024-02-11,KR,60278,583,494,1399,No Event,baseline,1.0,1868,17370.66
2024-02-11,JP,43250,364,321,860,No Event,baseline,1.0,1325,14846.92
2024-02-11,GLOBAL_WEST,100967,1175,681,2474,No Event,baseline,1.0,3214,21294.77
2024-02-12,KR,59877,559,458,1482,No Event,baseline,1.0,1810,14953.24
2024-02-12,JP,43176,399,329,852,No Event,baseline,1.0,1345,16858.17
2024-02-12,GLOBAL_WEST,100233,1194,621,2351,No Event,baseline,1.0,3009,20648.8
2024-02-13,KR,59357,547,470,1409,No Event,baseline,1.0,1793,16044.76
2024-02-13,JP,42874,371,324,849,No Event,baseline,1.0,1367,15424.59
2024-02-13,GLOBAL_WEST,99521,1229,606,2505,No Event,baseline,1.0,2918,29157.52
2024-02-14,KR,59024,558,448,1277,No Event,baseline,1.0,1814,20834.14
2024-02-14,JP,42783,439,367,857,No Event,baseline,1.0,1250,14263.85
2024-02-14,GLOBAL_WEST,99380,1323,630,2466,No Event,baseline,1.0,2925,26679.0
2024-02-15,KR,58912,599,465,1260,No Event,baseline,1.0,1835,15405.5
2024-02-15,JP,42642,399,309,890,No Event,baseline,1.0,1318,11102.76
2024-02-15,GLOBAL_WEST,98701,1280,609,2401,No Event,baseline,1.0,2958,25321.84
2024-02-16,KR,58726,622,472,1278,No Event,baseline,1.0,1816,16566.9
2024-02-16,JP,42659,417,325,798,No Event,baseline,1.0,1263,12920.04
2024-02-16,GLOBAL_WEST,98085,1234,661,2494,No Event,baseline,1.0,2960,25130.58
2024-02-17,KR,58292,544,496,1384,No Event,baseline,1.0,1828,15947.93
2024-02-17,JP,42419,446,325,934,No Event,baseline,1.0,1249,14234.82
2024-02-17,GLOBAL_WEST,97333,1270,646,2454,No Event,baseline,1.0,3101,24480.29
2024-02-18,KR,57894,568,489,1438,No Event,baseline,1.0,1809,17938.19
2024-02-18,JP,42398,405,344,791,No Event,baseline,1.0,1261,13704.43
2024-02-18,GLOBAL_WEST,96612,1229,639,2300,No Event,baseline,1.0,2871,27757.8
2024-02-19,KR,57827,582,462,1278,No Event,baseline,1.0,1771,15606.5
2024-02-19,JP,42185,377,325,911,No Event,baseline,1.0,1376,17644.18
2024-02-19,GLOBAL_WEST,96176,1255,588,2300,No Event,baseline,1.0,2837,24944.22
2024-02-20,KR,57573,634,427,1303,No Event,baseline,1.0,1797,14578.66
2024-02-20,JP,42158,443,318,785,No Event,baseline,1.0,1299,13411.77
2024-02-20,GLOBAL_WEST,95788,1244,625,2345,No Event,baseline,1.0,2915,26366.78
2024-02-21,KR,57200,586,458,1429,No Event,baseline,1.0,1743,14749.56
2024-02-21,JP,42268,439,312,783,No Event,baseline,1.0,1342,13213.31
2024-02-21,GLOBAL_WEST,95173,1244,576,2397,No Event,baseline,1.0,2942,24955.12
2024-02-22,KR,56934,492,514,1279,No Event,baseline,1.0,1662,16102.26
2024-02-22,JP,42170,405,349,765,No Event,baseline,1.0,1353,13874.37
2024-02-22,GLOBAL_WEST,94571,1266,598,2473,No Event,baseline,1.0,2840,19485.33
2024-02-23,KR,56651,532,468,1322,No Event,baseline,1.0,1761,17974.49
2024-02-23,JP,42152,450,346,752,No Event,baseline,1.0,1262,16443.84
2024-02-23,GLOBAL_WEST,94541,1308,622,2251,No Event,baseline,1.0,3004,22324.87
2024-02-24,KR,56140,535,490,1487,No Event,baseline,1.0,1658,18235.2
2024-02-24,JP,42014,440,348,867,No Event,baseline,1.0,1311,14289.05
2024-02-24,GLOBAL_WEST,94199,1282,619,2428,No Event,baseline,1.0,2913,27760.68
2024-02-25,KR,55758,562,451,1397,No Event,baseline,1.0,1686,18938.8
2024-02-25,JP,41916,447,333,818,No Event,baseline,1.0,1312,14067.47
2024-02-25,GLOBAL_WEST,94130,1288,604,2198,No Event,baseline,1.0,2882,21916.45
2024-02-26,KR,55319,525,432,1294,No Event,baseline,1.0,1753,14485.15
2024-02-26,JP,41812,439,308,845,No Event,baseline,1.0,1285,14222.69
2024-02-26,GLOBAL_WEST,93896,1362,574,2433,No Event,baseline,1.0,2822,23228.83
2024-02-27,KR,54937,582,433,1388,No Event,baseline,1.0,1739,14452.86
2024-02-27,JP,41721,448,301,850,No Event,baseline,1.0,1284,13602.64
2024-02-27,GLOBAL_WEST,93850,1320,539,2073,No Event,baseline,1.0,2929,28979.44
2024-02-28,KR,54677,588,452,1265,No Event,baseline,1.0,1601,15132.46
2024-02-28,JP,41598,358,301,728,No Event,baseline,1.0,1253,13325.59
2024-02-28,GLOBAL_WEST,93287,1395,620,2382,No Event,baseline,1.0,2779,27299.9
2024-02-29,KR,54430,538,423,1134,No Event,baseline,1.0,1688,16947.32
2024-02-29,JP,41444,421,272,813,No Event,baseline,1.0,1296,15482.52
2024-02-29,GLOBAL_WEST,92521,1292,601,2457,No Event,baseline,1.0,2821,29532.15
2024-03-01,KR,54268,565,476,1205,No Event,baseline,1.0,1706,16134.55
2024-03-01,JP,41370,354,356,743,No Event,baseline,1.0,1193,14251.09
2024-03-01,GLOBAL_WEST,92160,1304,623,2376,No Event,baseline,1.0,2786,28654.87
2024-03-02,KR,53993,506,495,1123,No Event,baseline,1.0,1695,15281.35
2024-03-02,JP,41341,476,326,776,No Event,baseline,1.0,1263,11572.71
2024-03-02,GLOBAL_WEST,91935,1291,633,2362,No Event,baseline,1.0,2793,23697.03
2024-03-03,KR,53612,532,497,1268,No Event,baseline,1.0,1696,13605.45
2024-03-03,JP,41214,400,323,822,No Event,baseline,1.0,1272,13259.23
2024-03-03,GLOBAL_WEST,91724,1310,644,2064,No Event,baseline,1.0,2864,22886.71
2024-03-04,KR,53296,560,391,1353,No Event,baseline,1.0,1658,17680.43
2024-03-04,JP,41157,445,261,813,No Event,baseline,1.0,1256,14517.17
2024-03-04,GLOBAL_WEST,91817,1328,570,2183,No Event,baseline,1.0,2850,24484.18
2024-03-05,KR,53154,517,423,1127,No Event,baseline,1.0,1637,17091.82
2024-03-05,JP,41143,485,261,814,No Event,baseline,1.0,1260,11006.09
2024-03-05,GLOBAL_WEST,91389,1352,614,2225,No Event,baseline,1.0,2973,24730.46
2024-03-06,KR,52878,517,476,1297,No Event,baseline,1.0,1658,16642.3
2024-03-06,JP,41079,426,269,686,No Event,baseline,1.0,1231,13238.9
2024-03-06,GLOBAL_WEST,90902,1327,583,2220,No Event,baseline,1.0,2808,28738.14
2024-03-07,KR,52733,563,411,1122,No Event,baseline,1.0,1606,17472.21
2024-03-07,JP,40870,376,295,762,No Event,baseline,1.0,1270,14959.14
2024-03-07,GLOBAL_WEST,90628,1310,572,2217,No Event,baseline,1.0,2793,21344.21
2024-03-08,KR,52689,531,461,1160,No Event,baseline,1.0,1642,14320.37
2024-03-08,JP,40863,461,333,784,No Event,baseline,1.0,1270,12239.83
2024-03-08,GLOBAL_WEST,90032,1303,597,2224,No Event,baseline,1.0,2659,24358.61
2024-03-09,KR,52645,540,454,1256,No Event,baseline,1.0,1603,16220.97
2024-03-09,JP,40949,442,318,737,No Event,baseline,1.0,1214,14385.97
2024-03-09,GLOBAL_WEST,89698,1283,595,2162,No Event,baseline,1.0,2888,22849.85
2024-03-10,KR,52474,534,415,1207,No Event,baseline,1.0,1658,12471.83
2024-03-10,JP,40920,426,314,850,No Event,baseline,1.0,1265,16958.81
2024-03-10,GLOBAL_WEST,89199,1318,583,2283,No Event,baseline,1.0,2670,24039.05
2024-03-11,KR,52203,506,393,1232,No Event,baseline,1.0,1682,15748.25
2024-03-11,JP,40751,408,306,860,No Event,baseline,1.0,1238,12160.81
2024-03-11,GLOBAL_WEST,89125,1324,554,2085,No Event,baseline,1.0,2837,27603.21
2024-03-12,KR,52079,588,448,1336,No Event,baseline,1.0,1594,14022.33
2024-03-12,JP,40537,392,301,986,No Event,baseline,1.0,1236,14252.39
2024-03-12,GLOBAL_WEST,88874,1300,593,2041,No Event,baseline,1.0,2813,25313.62
2024-03-13,KR,51698,544,442,1242,No Event,baseline,1.0,1647,14835.42
2024-03-13,JP,40519,447,265,796,No Event,baseline,1.0,1278,15418.95
2024-03-13,GLOBAL_WEST,88543,1308,522,2161,No Event,baseline,1.0,2637,22094.76
2024-03-14,KR,51545,573,390,1141,No Event,baseline,1.0,1560,14221.06
2024-03-14,JP,40473,427,295,789,No Event,baseline,1.0,1227,13622.65
2024-03-14,GLOBAL_WEST,88009,1291,524,2278,No Event,baseline,1.0,2562,28266.06
2024-03-15,KR,51176,468,446,1313,No Event,baseline,1.0,1568,15995.83
2024-03-15,JP,40333,460,291,841,No Event,baseline,1.0,1198,9707.79
2024-03-15,GLOBAL_WEST,87813,1167,584,2211,No Event,baseline,1.0,2696,28511.35
2024-03-16,KR,50973,502,467,1314,No Event,baseline,1.0,1583,15642.37
2024-03-16,JP,40042,400,354,908,No Event,baseline,1.0,1271,15838.8
2024-03-16,GLOBAL_WEST,87435,1320,615,2221,No Event,baseline,1.0,2612,27758.88
2024-03-17,KR,50836,495,432,1115,No Event,baseline,1.0,1524,17017.92
2024-03-17,JP,39988,395,310,773,No Event,baseline,1.0,1262,13603.67
2024-03-17,GLOBAL_WEST,87108,1273,591,2178,No Event,baseline,1.0,2706,21359.62
2024-03-18,KR,50624,483,438,1237,No Event,baseline,1.0,1550,15645.35
2024-03-18,JP,39710,457,288,854,No Event,baseline,1.0,1197,12626.83
2024-03-18,GLOBAL_WEST,86480,1267,509,2169,No Event,baseline,1.0,2761,21070.74
2024-03-19,KR,50406,543,439,1091,No Event,baseline,1.0,1544,17218.65
2024-03-19,JP,39764,413,310,656,No Event,baseline,1.0,1233,15615.72
2024-03-19,GLOBAL_WEST,86021,1252,552,2070,No Event,baseline,1.0,2620,22726.46
2024-03-20,KR,50100,494,412,1148,No Event,baseline,1.0,1597,16210.24
2024-03-20,JP,39651,415,260,748,No Event,baseline,1.0,1210,13395.17
2024-03-20,GLOBAL_WEST,86195,1220,547,1954,No Event,baseline,1.0,2606,18657.61
2024-03-21,KR,49967,536,381,1043,No Event,baseline,1.0,1519,14161.42
2024-03-21,JP,39653,518,306,819,No Event,baseline,1.0,1244,14963.28
2024-03-21,GLOBAL_WEST,86120,1296,544,2007,No Event,baseline,1.0,2610,21934.89
2024-03-22,KR,49549,459,404,1198,No Event,baseline,1.0,1541,11446.88
2024-03-22,JP,39755,504,267,774,No Event,baseline,1.0,1231,12313.99
2024-03-22,GLOBAL_WEST,85812,1263,565,1993,No Event,baseline,1.0,2645,20579.54
2024-03-23,KR,49538,513,462,1144,No Event,baseline,1.0,1540,13579.88
2024-03-23,JP,39577,404,307,889,No Event,baseline,1.0,1187,13159.0
2024-03-23,GLOBAL_WEST,85407,1216,588,1966,No Event,baseline,1.0,2667,17704.53
2024-03-24,KR,49544,538,443,1004,No Event,baseline,1.0,1455,13423.68
2024-03-24,JP,39473,427,360,782,No Event,baseline,1.0,1196,12274.17
2024-03-24,GLOBAL_WEST,85240,1179,620,2028,No Event,baseline,1.0,2581,23380.91
2024-03-25,KR,49528,563,400,1126,No Event,baseline,1.0,1580,17377.29
2024-03-25,JP,39734,411,344,716,No Event,baseline,1.0,1203,15242.91
2024-03-25,GLOBAL_WEST,84844,1223,532,2224,No Event,baseline,1.0,2561,20125.15
2024-03-26,KR,49490,527,382,1116,No Event,baseline,1.0,1502,15086.96
2024-03-26,JP,39879,483,288,747,No Event,baseline,1.0,1238,13806.97
2024-03-26,GLOBAL_WEST,84575,1163,558,2330,No Event,baseline,1.0,2537,18898.39
2024-03-27,KR,49358,541,406,1145,No Event,baseline,1.0,1496,15637.95
2024-03-27,JP,40034,423,321,749,No Event,baseline,1.0,1207,11804.45
2024-03-27,GLOBAL_WEST,84021,1204,517,2090,No Event,baseline,1.0,2631,22019.45
2024-03-28,KR,48970,501,376,1187,No Event,baseline,1.0,1571,16744.85
2024-03-28,JP,40008,440,295,824,No Event,baseline,1.0,1211,13577.6
2024-03-28,GLOBAL_WEST,83752,1107,598,1928,No Event,baseline,1.0,2538,23234.34
2024-03-29,KR,48961,549,508,1129,No Event,baseline,1.0,1549,14908.98
2024-03-29,JP,39905,428,351,856,No Event,baseline,1.0,1211,14241.44
2024-03-29,GLOBAL_WEST,83664,1172,578,2064,No Event,baseline,1.0,2481,22326.25
2024-03-30,KR,48975,622,462,1052,No Event,baseline,1.0,1497,12995.66
2024-03-30,JP,39746,418,294,792,No Event,baseline,1.0,1239,13489.71
2024-03-30,GLOBAL_WEST,83611,1189,604,1981,No Event,baseline,1.0,2714,20818.35
2024-03-31,KR,48934,549,442,1138,No Event,baseline,1.0,1555,14163.25
2024-03-31,JP,39472,422,280,924,No Event,baseline,1.0,1201,9779.94
2024-03-31,GLOBAL_WEST,83343,1154,580,2087,No Event,baseline,1.0,2646,26478.84
2024-04-01,KR,48743,573,409,1151,No Event,baseline,1.0,1513,15480.04
2024-04-01,JP,39323,426,297,819,No Event,baseline,1.0,1239,14733.62
2024-04-01,GLOBAL_WEST,82880,1111,534,2054,No Event,baseline,1.0,2747,22242.68
2024-04-02,KR,48513,535,423,1275,No Event,baseline,1.0,1531,12660.87
2024-04-02,JP,39325,398,316,804,No Event,baseline,1.0,1189,13491.46
2024-04-02,GLOBAL_WEST,82388,1158,513,2157,No Event,baseline,1.0,2493,20938.35
2024-04-03,KR,48306,554,427,1103,No Event,baseline,1.0,1437,12312.7
2024-04-03,JP,39186,481,280,806,No Event,baseline,1.0,1180,14258.81
2024-04-03,GLOBAL_WEST,82030,1113,519,1943,No Event,baseline,1.0,2448,24136.83
2024-04-04,KR,48055,601,414,1112,No Event,baseline,1.0,1530,14815.21
2024-04-04,JP,39215,456,285,836,No Event,baseline,1.0,1178,13113.85
2024-04-04,GLOBAL_WEST,81907,1084,554,1837,No Event,baseline,1.0,2541,18964.73
2024-04-05,KR,48041,555,451,972,No Event,baseline,1.0,1394,13743.03
2024-04-05,JP,39299,451,352,763,No Event,baseline,1.0,1155,14206.45
2024-04-05,GLOBAL_WEST,81734,1070,558,1843,No Event,baseline,1.0,2488,21948.9
2024-04-06,KR,47967,545,460,1024,No Event,baseline,1.0,1442,18191.86
2024-04-06,JP,39178,397,356,874,No Event,baseline,1.0,1180,12517.02
2024-04-06,GLOBAL_WEST,81168,1065,567,2037,No Event,baseline,1.0,2532,20068.64
2024-04-07,KR,47900,542,430,1114,No Event,baseline,1.0,1442,18695.37
2024-04-07,JP,39237,447,335,743,No Event,baseline,1.0,1216,11803.47
2024-04-07,GLOBAL_WEST,81031,1142,599,2009,No Event,baseline,1.0,2495,22381.28
2024-04-08,KR,47900,593,391,1008,No Event,baseline,1.0,1476,13263.35
2024-04-08,JP,39254,439,276,771,No Event,baseline,1.0,1291,13318.19
2024-04-08,GLOBAL_WEST,80626,1095,562,1990,No Event,baseline,1.0,2533,25444.66
2024-04-09,KR,47717,652,378,1022,No Event,baseline,1.0,1447,14478.64
2024-04-09,JP,39335,453,334,754,No Event,baseline,1.0,1180,14299.19
2024-04-09,GLOBAL_WEST,80102,1052,541,1937,No Event,baseline,1.0,2523,23181.62
2024-04-10,KR,47571,587,366,1157,No Event,baseline,1.0,1467,13454.83
2024-04-10,JP,39154,445,310,866,No Event,baseline,1.0,1209,10695.42
2024-04-10,GLOBAL_WEST,79725,1023,508,1870,No Event,baseline,1.0,2428,21475.69
2024-04-11,KR,47270,569,400,1095,No Event,baseline,1.0,1464,13735.61
2024-04-11,JP,39073,393,299,759,No Event,baseline,1.0,1192,11576.65
2024-04-11,GLOBAL_WEST,79362,1006,544,2023,No Event,baseline,1.0,2444,24704.33
2024-04-12,KR,47025,587,475,1193,No Event,baseline,1.0,1500,16440.91
2024-04-12,JP,38954,429,314,783,No Event,baseline,1.0,1146,12195.3
2024-04-12,GLOBAL_WEST,78811,1026,568,2051,No Event,baseline,1.0,2398,20674.16
2024-04-13,KR,46843,540,432,1022,No Event,baseline,1.0,1428,13663.63
2024-04-13,JP,38850,436,305,869,No Event,baseline,1.0,1250,13935.9
2024-04-13,GLOBAL_WEST,78363,1052,570,2008,No Event,baseline,1.0,2274,22557.5
2024-04-14,KR,46521,515,447,1178,No Event,baseline,1.0,1405,14667.59
2024-04-14,JP,38739,425,312,809,No Event,baseline,1.0,1199,12771.6
2024-04-14,GLOBAL_WEST,78215,1046,534,1794,No Event,baseline,1.0,2308,23698.75
2024-04-15,KR,46619,538,406,1025,No Event,baseline,1.0,1404,15940.65
2024-04-15,JP,38716,366,347,731,No Event,baseline,1.0,1159,15309.48
2024-04-15,GLOBAL_WEST,77921,1031,543,1887,No Event,baseline,1.0,2435,26846.66
2024-04-16,KR,46407,575,388,1104,No Event,baseline,1.0,1447,14689.84
2024-04-16,JP,38618,370,268,665,No Event,baseline,1.0,1188,11459.39
2024-04-16,GLOBAL_WEST,77605,1034,507,1924,No Event,baseline,1.0,2348,19049.87
2024-04-17,KR,46235,601,415,1228,No Event,baseline,1.0,1426,11503.74
2024-04-17,JP,38664,468,284,735,No Event,baseline,1.0,1212,12894.14
2024-04-17,GLOBAL_WEST,77307,980,608,1834,No Event,baseline,1.0,2369,25557.94
